Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
5;F;2017;Hanaa;5
32;F;2017;Hanna;32
9;M;2017;Harry;9
5;M;2017;Hélio;5
7;M;2017;Ilhan;7
6;F;2017;Iliana;6
19;M;2017;Ilyas;19
8;F;2017;Imany;8
58;M;2017;Imran;58
9;F;2017;India;9
33;F;2017;Ines;33
9;F;2017;Jessica;9
5;M;2017;Jibril;5
107;F;2017;Joséphine;107
21;F;2017;Justine;21
7;M;2017;Kenzi;7
13;M;2017;Kevin;13
5;F;2017;Kiara;5
14;M;2017;Lamine;14
5;M;2017;Levi;5
17;F;2017;Louna;17
107;F;2017;Manon;107
5;F;2017;Margo;5
11;M;2017;Maximilien;11
69;F;2017;Maya;69
5;M;2017;Pacôme;5
8;F;2017;Paula;8
100;F;2017;Romane;100
5;F;2017;Ruby;5
11;M;2017;Ryan;11
22;F;2017;Salma;22
15;M;2017;Sam;15
5;F;2017;Saran;5
5;F;2017;Shanaya;5
5;M;2017;Siaka;5
15;M;2017;Siméon;15
5;F;2017;Soujoud;5
5;M;2017;Taha;5
5;M;2017;Tao;5
11;F;2017;Tara;11
11;M;2017;Thiago;11
7;M;2017;Tyler;7
15;M;2017;Virgile;15
8;F;2017;Zeinab;8
5;F;2018;Abigaël;5
25;M;2018;Aksel;25
25;F;2018;Alba;25
5;F;2018;Alessia;5
9;M;2018;Alphonse;9
7;F;2018;Alycia;7
22;F;2018;Amalia;22
51;F;2018;Ambre;51
48;F;2018;Aminata;48
16;F;2018;Anastasia;16
7;F;2018;Antonia;7
264;M;2018;Arthur;264
152;M;2018;Augustin;152
5;M;2018;Auxence;5
12;M;2018;Bastien;12
11;F;2018;Billie;11
10;F;2018;Camila;10
98;F;2018;Camille;191
7;F;2018;Carmen;7
5;F;2018;Cassandra;5
21;M;2018;Djibril;21
6;F;2018;Eléna;6
92;M;2018;Eliott;92
20;F;2018;Émilie;20
5;M;2018;Emir;5
50;M;2018;Enzo;50
6;M;2018;Ézéchiel;6
12;M;2018;Fares;12
21;M;2018;Grégoire;21
27;F;2018;Hannah;27
15;M;2018;Harry;15
6;M;2018;Hassan;6
6;M;2018;Hélie;6
97;F;2018;Joséphine;97
13;F;2018;June;13
14;F;2018;Kayla;14
6;F;2018;Leyla;6
41;M;2018;Luca;41
82;F;2018;Lucie;82
12;F;2018;Lucile;12
17;F;2018;Lya;17
6;F;2018;Lyah;6
17;M;2018;Marc;17
17;F;2018;Marwa;17
29;M;2018;Mathias;29
18;M;2018;Melchior;18
9;F;2018;Meriem;9
15;M;2018;Moustapha;15
60;M;2018;Noam;60
6;F;2018;Rania;6
6;M;2018;Rémy;6
6;F;2018;Ritaj;6
7;F;2018;Sakina;7
7;F;2018;Shirel;7
5;M;2018;Silas;5
6;F;2018;Swann;23
5;F;2018;Talya;5
7;F;2018;Tasnime;7
5;M;2018;Téo;5
76;M;2018;Thomas;76
6;F;2018;Tiana;6
10;M;2018;Vincent;10
16;F;2018;Yaël;16
7;F;2018;Yousra;7
88;F;2019;Alix;88
83;M;2019;Ismaël;83
71;F;2019;Diane;71
67;M;2019;Gustave;67
57;M;2019;Félix;57
43;M;2019;Adrien;43
39;M;2019;Rafael;39
37;M;2019;Jad;37
37;F;2019;Awa;37
33;F;2019;Elisa;33
32;F;2019;Hannah;32
25;F;2019;Jennah;25
25;F;2019;Livia;25
19;M;2019;Hadrien;19
19;F;2019;Imane;19
19;F;2019;Pénélope;19
18;F;2019;Leïla;18
17;F;2019;Charline;17
16;F;2019;Julie;16
15;M;2019;Dan;15
15;M;2019;Elijah;15
15;F;2019;Assiya;15
15;F;2019;Liya;15
14;F;2019;Amy;14
11;F;2019;Mayssa;11
10;F;2019;Ada;10
10;F;2019;Ethel;10
9;M;2019;Habib;9
9;M;2019;Zachary;9
9;F;2019;Dalia;9
9;F;2019;Léane;9
8;M;2019;Doron;8
8;M;2019;Jude;8
11;F;2006;Kahina;11
8;F;2006;Lilly;8
5;F;2006;Lorie;5
13;M;2006;Lukas;13
36;F;2006;Madeleine;36
7;F;2006;Maé;7
11;M;2006;Mahamadou;11
10;M;2006;Marceau;10
54;M;2006;Mathias;54
95;M;2006;Mathieu;95
34;M;2006;Maximilien;34
16;M;2006;Melchior;16
10;F;2006;Mélodie;10
7;M;2006;Melvyn;7
8;M;2006;Michael;8
14;M;2006;Mickaël;14
155;M;2006;Mohamed;155
5;F;2006;Noura;5
8;F;2006;Ondine;8
19;M;2006;Owen;19
31;M;2006;Pablo;31
33;F;2006;Paloma;33
22;F;2006;Philippine;22
105;M;2006;Quentin;105
19;M;2006;Raphael;19
5;F;2006;Safia;5
6;F;2006;Shérine;6
14;F;2006;Sidonie;14
7;M;2006;Soren;7
7;F;2006;Tiffany;7
101;M;2006;Tom;101
21;M;2006;Tony;21
13;M;2006;Xavier;13
7;M;2007;Adame;7
7;F;2007;Adriana;7
5;M;2007;Adriano;5
79;F;2007;Agathe;79
36;M;2007;Ahmed;36
27;F;2007;Albane;27
31;M;2007;Alex;31
26;F;2007;Aliénor;26
9;F;2007;Aliya;9
20;M;2007;Amir;20
135;F;2007;Anaïs;135
36;M;2007;Anis;36
7;F;2007;Binta;7
36;F;2007;Blanche;36
7;F;2007;Camila;7
15;F;2007;Cécilia;15
9;M;2007;Célestin;9
5;M;2007;Cheikh;5
10;M;2007;Christopher;10
21;F;2007;Coline;21
47;M;2007;Daniel;47
9;F;2007;Delphine;9
5;M;2007;Denis;5
6;F;2007;Dune;6
76;M;2007;Eliott;76
9;M;2007;Eyal;9
17;F;2007;Fleur;17
39;M;2007;Florian;39
29;M;2007;Gustave;29
5;F;2007;Hajar;5
8;M;2007;Harry;8
6;F;2007;Isis;6
6;M;2007;Ismael;6
18;F;2007;Jessica;18
7;F;2007;Johanna;7
5;F;2007;Juliane;5
102;F;2007;Julie;102
5;F;2007;Kaïna;5
5;F;2007;Kawtar;5
5;F;2007;Laureen;5
8;F;2007;Laurine;8
23;M;2007;Léopold;23
13;F;2007;Lilya;13
11;F;2007;Lison;11
7;F;2007;Lou-Ann;7
6;M;2007;Lounis;6
8;M;2007;Mael;8
30;F;2007;Maïa;30
10;M;2007;Marcel;10
19;M;2007;Marcus;19
12;F;2007;Marina;12
57;F;2007;Marion;57
13;F;2007;Méline;13
18;F;2007;Melissa;18
129;M;2007;Mohamed;129
23;M;2007;Nassim;23
6;F;2007;Natalia;6
8;F;2007;Nola;8
16;F;2007;Oriane;16
6;F;2007;Priscille;6
304;M;2007;Raphaël;304
45;M;2007;Samy;45
9;F;2007;Sanaa;9
11;M;2007;Shaï;11
9;F;2007;Shaïna;9
8;F;2007;Soraya;8
13;M;2007;Téo;13
13;M;2007;Yannis;13
8;F;2008;Abigaël;8
6;F;2008;Abigail;6
7;F;2008;Amanda;7
12;M;2008;Anas;12
5;F;2008;Angelica;5
29;M;2008;Anis;29
127;F;2008;Anna;127
7;F;2008;Anne-Sophie;7
24;F;2008;Axelle;24
10;M;2008;Bruno;10
8;F;2008;Camélia;8
10;M;2008;Carl;10
26;F;2008;Chaïma;26
9;F;2008;Claudia;9
58;F;2008;Constance;58
15;F;2008;Coumba;15
32;M;2008;Diego;32
14;F;2008;Elia;19
35;M;2008;Etienne;35
16;F;2008;Fanny;16
14;F;2008;Fanta;14
22;F;2008;Farah;22
21;M;2008;François;21
14;F;2008;Grace;14
51;M;2008;Guillaume;51
5;M;2008;Igor;5
13;M;2008;Ilyès;13
5;F;2008;Inés;5
8;M;2008;Jérôme;8
27;F;2008;Judith;27
35;F;2008;Kenza;35
7;M;2008;Kyle;7
5;F;2008;Léanne;5
29;M;2008;Lenny;29
10;M;2008;Leonardo;10
8;F;2008;Liliana;8
44;F;2008;Lily;44
18;F;2008;Loane;18
192;M;2008;Lucas;192
32;F;2008;Lyna;32
5;F;2008;Maelys;5
5;M;2008;Malek;5
5;F;2008;Mara;5
9;F;2008;Mariama;9
11;F;2008;Marilou;11
64;M;2008;Mathieu;64
12;M;2008;Matisse;12
33;M;2008;Mattéo;33
23;M;2008;Maximilien;23
10;M;2008;Merlin;10
9;F;2008;Milla;9
21;F;2008;Morgane;21
26;M;2008;Nael;26
6;M;2008;Nil;6
55;F;2008;Noa;97
7;M;2008;Noha;7
11;F;2008;Ombeline;11
26;M;2008;Rafael;26
16;M;2008;Raphael;16
70;F;2008;Sara;70
5;F;2008;Shyrel;5
27;F;2008;Sixtine;27
11;F;2008;Tania;11
13;M;2008;Tim;13
86;M;2008;Tristan;86
208;M;2008;Victor;208
5;M;2008;Waïl;5
86;M;2008;William;86
6;F;2009;Abigaëlle;6
5;F;2009;Aissatou;5
5;M;2009;Alain;5
15;F;2009;Aliya;15
39;F;2009;Aminata;39
22;F;2009;Ana;22
7;F;2009;Andrea;33
6;M;2009;Anselme;6
22;M;2009;Anthony;22
57;M;2009;Antonin;57
25;F;2009;Asma;25
5;M;2009;Blaise;5
20;F;2009;Candice;20
11;F;2009;Catherine;11
14;F;2009;Cécile;14
29;M;2009;César;29
7;F;2009;Dana;7
8;F;2009;Daphnée;8
6;M;2009;Élias;6
7;M;2009;Emilio;7
7;M;2009;Emir;7
160;M;2009;Enzo;160
11;M;2009;Fares;11
6;F;2009;Fatim;6
28;M;2009;Florian;28
57;F;2009;Garance;57
6;M;2009;Giovanni;6
9;F;2009;Haby;9
5;F;2009;Halima;5
6;M;2009;Hedi;6
6;M;2009;Hédi;6
8;F;2009;Helena;8
23;M;2009;Ibrahima;23
5;M;2009;Iliane;5
7;M;2009;Ilyess;7
49;F;2009;Iris;49
7;M;2009;Isidore;7
5;F;2009;Isra;5
8;F;2009;Janna;8
23;F;2009;Jasmine;23
15;M;2009;Jonas;15
84;F;2009;Julia;84
6;M;2009;Kelyan;6
6;M;2009;Kenny;6
6;M;2009;Kilyan;6
9;F;2009;Kim;9
5;M;2009;Lény;5
14;F;2009;Léonore;14
35;F;2009;Lyna;35
6;M;2009;Maceo;6
8;F;2009;Mai;8
16;F;2009;Marianne;16
45;M;2009;Marius;45
10;F;2009;Marthe;10
8;M;2009;Matisse;8
9;F;2009;Melissa;9
32;M;2009;Moussa;32
20;M;2009;Naïm;20
12;F;2009;Nawel;12
6;F;2009;Nell;6
12;F;2009;Noor;12
114;M;2009;Oscar;114
5;M;2009;Réda;5
7;M;2009;Richard;7
29;F;2009;Roxane;29
15;M;2009;Sam;15
12;M;2009;Sekou;12
12;M;2009;Shaï;12
69;F;2009;Sofia;69
5;F;2009;Taïs;5
6;M;2009;Thierry;6
7;M;2009;Tim;7
59;M;2009;Ulysse;59
13;M;2009;Wael;13
9;M;2009;Waël;9
5;M;2009;Yacouba;5
5;M;2009;Ylan;5
13;M;2010;Abdallah;13
37;F;2010;Aïcha;37
6;F;2010;Aimée;6
6;M;2010;Alan;6
6;M;2010;Alix;6
17;F;2010;Amina;17
36;F;2010;Aminata;36
11;F;2010;Annabelle;11
302;M;2010;Arthur;302
6;F;2010;Arwen;6
7;F;2010;Avital;7
97;M;2010;Axel;97
14;M;2010;Aymeric;14
11;M;2010;Bakary;11
16;F;2010;Candice;16
5;F;2010;Cassie;5
37;M;2010;César;37
11;F;2010;Chaïma;11
5;F;2010;Charlize;5
258;F;2010;Chloé;258
8;F;2010;Clothilde;8
6;F;2010;Coumba;6
9;M;2010;Cyprien;9
5;F;2010;Doriane;5
6;M;2010;Edgard;6
6;F;2010;Elyssa;6
17;M;2010;Ewan;17
5;M;2010;Ewen;5
6;F;2010;Fatim;6
6;M;2010;Fodé;6
107;F;2010;Gabrielle;107
5;M;2010;Gary;5
7;M;2010;Gaspar;7
26;F;2010;Hortense;26
10;F;2010;Inés;10
9;F;2010;Irina;9
11;F;2010;Janna;11
5;M;2010;Joey;5
8;F;2010;Kadiatou;8
6;M;2010;Kilian;6
7;F;2010;Lamia;7
11;M;2010;Lazare;11
13;F;2010;Lea;13
59;M;2010;Luca;59
6;F;2010;Lyne;6
9;M;2010;Mahé;9
13;F;2010;Maïlys;13
15;F;2010;Malak;15
9;F;2010;Manelle;9
153;F;2010;Manon;153
81;F;2010;Margot;81
19;F;2010;Maryam;19
136;F;2010;Mathilde;136
94;M;2010;Mathis;94
22;M;2010;Mathys;22
6;F;2010;Mélodie;6
10;F;2010;Meriem;10
16;F;2010;Morgane;16
29;F;2010;Ninon;29
5;F;2010;Octavie;5
10;F;2010;Ranya;10
25;M;2010;Roman;25
5;M;2010;Selim;5
30;F;2010;Sirine;30
47;M;2010;Solal;47
22;F;2010;Solène;22
10;M;2010;Stéphane;10
8;F;2010;Tali;8
5;F;2010;Yamina;5
5;M;2011;Abd;5
136;M;2011;Adrien;136
36;M;2011;Ahmed;36
5;M;2011;Alpha;5
47;F;2011;Ambre;47
8;F;2011;Amy;8
14;F;2011;Anastasia;14
23;M;2011;Anthony;23
12;M;2011;Bilal;12
5;F;2011;Cassiopée;5
32;F;2011;Charlie;53
274;F;2011;Chloé;274
13;F;2011;Clarisse;13
10;F;2011;Clélia;10
15;F;2011;Colette;15
15;M;2011;Constantin;15
22;M;2011;Eliot;22
5;F;2011;Eloane;5
12;F;2011;Ema;12
47;M;2011;Evan;47
57;M;2011;Félix;57
14;M;2011;Ferdinand;14
11;F;2011;Florence;11
5;F;2011;Hatouma;5
6;F;2011;Haya;6
7;F;2011;Hind;7
5;M;2011;Ilyess;5
202;F;2011;Inès;202
14;F;2011;Jana;14
8;F;2011;Janna;8
17;F;2011;Jenna;17
6;F;2011;Joana;6
12;M;2011;Kévin;12
88;F;2011;Léonie;88
5;F;2011;Léopoldine;5
5;F;2011;Leyla;5
31;F;2011;Lilou;31
5;F;2011;Lily-Rose;5
12;M;2011;Malik;12
22;M;2011;Marcus;22
9;M;2011;Mario;9
77;M;2011;Mathis;77
83;F;2011;Maya;83
34;F;2011;Mia;34
6;M;2011;Miguel;6
189;M;2011;Mohamed;189
12;F;2011;Naomie;12
29;M;2011;Nathanaël;29
30;M;2011;Noa;30
23;F;2011;Nora;23
19;M;2011;Olivier;19
11;F;2011;Pia;11
5;F;2011;Rébecca;5
14;F;2011;Rosalie;14
15;F;2011;Shirel;15
6;F;2011;Siloé;6
5;M;2011;Swan;5
6;F;2011;Thalia;6
24;M;2011;Timothé;24
91;F;2011;Victoire;91
14;M;2004;Abel;14
60;F;2004;Alexandra;60
8;M;2004;Alix;8
48;F;2004;Anouk;48
41;M;2004;Anthony;41
248;M;2004;Antoine;248
5;M;2004;Artus;5
6;M;2004;Boubou;6
25;F;2004;Céleste;25
41;F;2004;Céline;41
7;F;2004;Chirine;7
139;M;2004;Clément;139
20;F;2004;Clotilde;20
44;M;2004;Corentin;44
7;M;2004;Corto;7
9;M;2004;Daouda;9
6;F;2004;Éloïse;6
6;F;2004;Elya;6
9;F;2004;Erin;9
12;M;2004;Eyal;12
18;M;2004;Florent;18
5;M;2004;Gilles;5
16;F;2004;Hanna;16
34;F;2004;Hélène;34
35;M;2004;Hippolyte;35
210;M;2004;Hugo;210
11;M;2004;Kilian;11
7;F;2004;Lauriane;7
8;F;2004;Léonore;8
11;F;2004;Maëva;11
12;M;2004;Marco;12
5;F;2004;Mariana;5
118;M;2004;Martin;118
12;M;2004;Matis;12
5;F;2004;May;5
5;F;2004;Mayane;5
7;F;2004;Nadia;7
9;M;2004;Naïm;9
9;M;2004;Nelson;9
32;M;2004;Nils;32
80;F;2004;Océane;80
6;F;2004;Odélia;6
7;M;2004;Pierre-Antoine;7
125;M;2004;Quentin;125
10;M;2004;Raphael;10
140;M;2004;Rayan;140
13;M;2004;Rémy;13
5;F;2004;Rivka;5
15;F;2004;Sandra;15
24;M;2004;Sébastien;24
7;M;2004;Seydou;7
50;M;2004;Stanislas;50
9;F;2004;Stéphanie;9
5;M;2004;Sylvain;5
18;M;2004;Ugo;18
6;F;2004;Wendy;6
44;M;2004;Yacine;44
7;M;2004;Yaron;7
15;M;2005;Ambroise;15
16;M;2005;Ange;16
6;F;2005;Armance;6
12;F;2005;Assa;12
23;F;2005;Astrid;23
15;M;2005;Aurèle;15
37;F;2005;Blanche;37
8;M;2005;Célestin;8
5;F;2005;Danaé;5
20;M;2005;Djibril;20
6;M;2005;Eddy;6
34;M;2005;Elie;34
5;F;2005;Emmanuella;5
13;M;2005;Eytan;13
12;F;2005;Fatima;12
13;F;2005;Giulia;13
7;F;2005;Goundo;7
9;M;2005;Hamed;9
6;M;2005;Hédi;6
20;F;2005;Hortense;20
6;F;2005;Houda;6
6;M;2005;Hubert;6
19;F;2005;Isabelle;19
7;F;2005;Isra;7
39;M;2005;Jérémy;39
13;M;2005;John;13
66;F;2005;Julia;66
11;M;2005;Julian;11
197;F;2005;Léa;197
29;F;2005;Léane;29
49;F;2005;Lila;49
7;F;2005;Liv;7
12;F;2005;Lou-Anne;12
9;M;2005;Louka;9
6;M;2005;Lyes;6
5;M;2005;Mady;5
61;F;2005;Maëlle;61
13;M;2005;Marco;13
18;F;2005;Marina;18
59;F;2005;Marine;59
6;F;2005;Morgan;12
6;M;2005;Mouhamed;6
5;F;2005;Naëlle;5
11;F;2005;Nawel;11
14;M;2005;Niels;14
7;F;2005;Noha;7
11;F;2005;Olympe;11
24;F;2005;Rachel;24
270;M;2005;Raphaël;270
42;M;2005;Ryan;42
6;F;2005;Salimata;6
5;M;2005;Sékou;5
16;F;2005;Sidonie;16
10;F;2005;Sira;10
29;F;2005;Suzanne;29
17;F;2005;Théa;17
69;M;2005;Tristan;69
93;F;2005;Yasmine;93
8;M;2005;Zakarya;8
6;F;2006;Aimée;6
11;F;2006;Aïssata;11
46;F;2006;Alexandra;46
29;F;2006;Amélie;29
59;M;2006;Amine;59
32;F;2006;Angèle;32
16;M;2006;Arthus;16
27;F;2006;Caroline;27
19;F;2006;Cécile;19
11;M;2006;Chris;11
43;F;2006;Clémentine;43
16;M;2006;Constantin;16
37;M;2006;Edouard;37
6;M;2006;Elliott;6
15;M;2006;Elyas;15
22;M;2006;Eric;22
6;M;2006;Étienne;6
12;F;2006;Eulalie;12
55;M;2006;Evan;55
11;F;2006;Félicie;11
11;M;2006;Filip;11
23;F;2006;Flore;23
97;F;2006;Gabrielle;97
9;F;2006;Gloria;9
6;M;2006;Hélie;6
25;F;2006;Hortense;25
15;M;2006;Ivan;15
16;M;2006;Jason;16
5;M;2006;Jean-David;5
7;M;2006;Joël;7
5;M;2011;Zacharia;5
12;M;2011;Zachary;12
8;F;2012;Abigaël;8
41;M;2012;Amir;41
10;M;2012;Anselme;10
182;M;2012;Antoine;182
22;M;2012;Auguste;22
57;F;2012;Aya;57
5;F;2012;Blandine;5
8;M;2012;Calixte;8
32;F;2012;Célia;32
10;M;2012;Cheick;10
54;M;2012;Côme;54
6;F;2012;Danaé;6
7;F;2012;Elly;7
6;M;2012;Étienne;6
12;M;2012;Fares;12
15;F;2012;Flore;15
99;F;2012;Gabrielle;99
5;F;2012;Inés;5
13;M;2012;Jayden;13
5;M;2012;Juan;5
5;F;2012;Junon;5
39;F;2012;Justine;39
6;F;2012;Kate;6
5;F;2012;Katell;5
13;F;2012;Léonore;13
142;F;2012;Lina;142
5;M;2012;Lyes;5
22;F;2012;Maëlle;22
37;F;2012;Maïa;37
9;F;2012;Mélanie;9
9;F;2012;Meriem;9
7;M;2012;Mohamed-Ali;7
9;M;2012;Moïse;9
14;M;2012;Nahel;14
